sIP,sport,dIP,dport,,timestamp,Cd/Cp,Sd/Sp,C0/Sd,S0/Cd,Cd/Pd,Sd/Pd,Cf/Cd,Sf/Sd,Ca1/Cd,Ca2/Cd,Ca4/Cd,Sa2/Sd,Sa4/Sd
150.57.248.121,443,101.30.224.224,50484,,0,0,1,0,0,0,1,0,0.4653,0,0,0,0.0099,0.9901
101.30.224.224,50484,150.57.248.121,443,,0,1,0,0,0,1,0,0.4653,0,0,0.0099,0.9901,0,0
150.57.248.121,80,115.75.222.164,42184,,1,0,1,0,0,0,1,0,0.0099,0,0,0,0.0099,0.9901
115.75.222.164,42184,150.57.248.121,80,,1,1,0,0,0,1,0,0.0099,0,0,0.0099,0.9901,0,0
150.57.248.121,443,101.30.224.224,50485,,0,0,1,0,0,0,1,0,0.4455,0,0,0,0.0099,0.9604
101.30.224.224,50485,150.57.248.121,443,,0,1,0,0,0,1,0,0.4455,0,0,0.0099,0.9604,0,0
150.57.248.121,80,115.75.222.164,42212,,1,0,1,0,0,0,1,0,0,0,0,0,0,1
115.75.222.164,42212,150.57.248.121,80,,1,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.248.121,80,115.75.124.165,34055,,1,0,1,0,0,0,1,0,0.099,0,0,0,0.0099,0.9802
115.75.124.165,34055,150.57.248.121,80,,1,1,0,0,0,1,0,0.099,0,0.0099,0.0099,0.9802,0,0
150.57.248.121,443,59.174.128.9,59412,,0,0,1,0,0,0,1,0,0,0,0,0,0,1
59.174.128.9,59412,150.57.248.121,443,,0,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.248.121,80,118.15.7.138,45982,,1,0,0.9703,0,0,0,1,0,0.2143,0,0,0,0.0102,0.9796
118.15.7.138,45982,150.57.248.121,80,,1,0.9703,0,0,0,1,0,0.2143,0,0,0.0102,0.9796,0,0
150.57.182.64,56415,155.153.54.212,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.153.54.212,80,150.57.182.64,56415,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.198.44.179,23536,104.120.156.140,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.120.156.140,80,202.198.44.179,23536,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.249.25.181,443,133.27.10.200,63499,,1,0,1,0.3861,0,0,1,0,0.0198,0,0,0,0,1
133.27.10.200,63499,172.249.25.181,443,,1,1,0,0,0.3861,1,0,0.0198,0,0,0,1,0,0
150.57.248.121,80,115.75.124.167,43700,,1,0,1,0,0,0,1,0,0.1188,0,0,0,0,0.9802
115.75.124.167,43700,150.57.248.121,80,,1,1,0,0,0,1,0,0.1188,0,0.0099,0,0.9802,0,0
210.193.44.119,63652,203.77.126.80,80,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203.77.126.80,80,210.193.44.119,63652,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,80,153.198.112.222,34428,,1,0,1,0.3366,0,0,1,0,0.4851,0,0,0,0.0099,0.9901
153.198.112.222,34428,150.57.248.121,80,,1,1,0,0,0.3366,1,0,0.4851,0,0,0.0099,0.9901,0,0
150.57.248.121,80,118.15.7.138,45982,,1,0,1,0,0,0,1,0,0.5446,0,0,0,0.0099,0.9802
118.15.7.138,45982,150.57.248.121,80,,1,1,0,0,0,1,0,0.5446,0,0,0.0099,0.9802,0,0
150.57.172.44,8080,114.95.167.124,55277,,1,0,1,0.6436,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55277,150.57.172.44,8080,,1,1,0,0,0.6436,1,0,0.0099,0,0,0,1,0,0
150.57.248.121,80,219.241.254.202,47415,,1,0,1,0,0,0,1,0,0.4851,0,0,0,0,0.9901
219.241.254.202,47415,150.57.248.121,80,,1,1,0,0,0,1,0,0.4851,0,0,0,0.9901,0,0
150.57.172.44,8080,114.95.167.124,55275,,1,0,1,0.5248,0,0,1,0,0.0198,0,0,0,0,1
114.95.167.124,55275,150.57.172.44,8080,,1,1,0,0,0.5248,1,0,0.0198,0,0,0,1,0,0
150.57.248.121,80,115.75.124.167,43695,,1,0,1,0,0,0,1,0,0.0594,0,0,0,0,0.9901
