sIP,sport,dIP,dport,,timestamp,Cd/Cp,Sd/Sp,C0/Sd,S0/Cd,Cd/Pd,Sd/Pd,Cf/Cd,Sf/Sd,Ca1/Cd,Ca2/Cd,Ca4/Cd,Sa2/Sd,Sa4/Sd
203.77.116.218,80,60.175.232.77,51406,,1,0,1,0,0,0,1,0,0,0,0,0,0,1
60.175.232.77,51406,203.77.116.218,80,,1,1,0,0,0,1,0,0,0,0,0,1,0,0
210.193.44.119,63652,203.77.126.80,80,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203.77.126.80,80,210.193.44.119,63652,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172.249.30.182,443,131.142.218.89,54261,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.142.218.89,54261,172.249.30.182,443,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.249.28.105,443,131.142.218.89,54260,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.142.218.89,54260,172.249.28.105,443,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,80,115.75.124.165,34055,,1,0,1,0,0,0,1,0,0.0792,0,0,0,0.0099,0.9802
115.75.124.165,34055,150.57.248.121,80,,1,1,0,0,0,1,0,0.0792,0,0.0099,0.0099,0.9802,0,0
150.57.248.121,443,59.174.128.9,59412,,0,0,1,0,0,0,1,0,0.0297,0,0,0,0.0099,0.9901
59.174.128.9,59412,150.57.248.121,443,,0,1,0,0,0,1,0,0.0297,0,0,0.0099,0.9901,0,0
150.57.248.121,80,111.230.217.47,51849,,1,0,1,0,0,0,1,0,0.1881,0,0,0,0,0.9802
111.230.217.47,51849,150.57.248.121,80,,1,1,0,0,0,1,0,0.1881,0,0,0,0.9802,0,0
150.57.248.121,80,118.15.7.138,45982,,1,0,1,0,0,0,1,0,0.3465,0,0,0,0.0099,0.9901
118.15.7.138,45982,150.57.248.121,80,,1,1,0,0,0,1,0,0.3465,0,0,0.0099,0.9901,0,0
202.198.44.179,23536,104.120.156.140,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.120.156.140,80,202.198.44.179,23536,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,80,115.75.124.167,43700,,1,0,1,0,0,0,1,0,0.0495,0,0,0,0,0.9901
115.75.124.167,43700,150.57.248.121,80,,1,1,0,0,0,1,0,0.0495,0,0.0099,0,0.9901,0,0
150.57.248.121,80,115.75.124.167,43695,,1,0,1,0,0,0,1,0,0.0693,0,0,0,0.0099,0.9802
115.75.124.167,43695,150.57.248.121,80,,1,1,0,0,0,1,0,0.0693,0,0.0099,0.0099,0.9802,0,0
172.249.25.181,443,133.27.10.200,63499,,1,0,1,0.4653,0,0,1,0,0.0396,0,0,0,0,1
133.27.10.200,63499,172.249.25.181,443,,1,1,0,0,0.4653,1,0,0.0396,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55278,,1,0.0185,1,0.5248,0,0.0098,0.9902,1,0,0,1,0,0,1
114.95.167.124,55278,150.57.172.44,8080,,1,1,0.0185,0,0.5248,0.9902,0.0098,0,1,0,0,1,1,0
150.57.172.44,8080,114.95.167.124,55283,,1,0,1,0.3465,0,0,1,0,0.0297,0,0,0,0,1
114.95.167.124,55283,150.57.172.44,8080,,1,1,0,0,0.3465,1,0,0.0297,0,0,0,1,0,0
210.193.44.119,63652,203.77.126.80,80,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203.77.126.80,80,210.193.44.119,63652,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.172.44,8080,114.95.167.124,55282,,1,0,1,0.3267,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55282,150.57.172.44,8080,,1,1,0,0,0.3267,1,0,0,0,0,0,1,0,0
150.57.248.121,80,115.75.124.166,47174,,1,0,1,0,0,0,1,0,0.1683,0,0,0,0,0.9802
115.75.124.166,47174,150.57.248.121,80,,1,1,0,0,0,1,0,0.1683,0,0.0099,0,0.9802,0,0
150.57.172.44,8080,114.95.167.124,55301,,1,0,1,0.6535,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55301,150.57.172.44,8080,,1,1,0,0,0.6535,1,0,0,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55284,,1,0,1,0.5149,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55284,150.57.172.44,8080,,1,1,0,0,0.5149,1,0,0.0099,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55279,,1,0,1,0.2376,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55279,150.57.172.44,8080,,1,1,0,0,0.2376,1,0,0.0099,0,0,0,1,0,0
150.57.248.121,80,115.75.124.164,50728,,1,0,1,0,0,0,1,0,0.0099,0,0,0,0,1
115.75.124.164,50728,150.57.248.121,80,,1,1,0,0,0,1,0,0.0099,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55281,,1,0,1,0.4257,0,0,1,0,0.0198,0,0,0,0,1
114.95.167.124,55281,150.57.172.44,8080,,1,1,0,0,0.4257,1,0,0.0198,0,0,0,1,0,0
150.57.248.121,80,115.75.222.164,42212,,1,0,1,0,0,0,1,0,0,0,0,0,0,1
115.75.222.164,42212,150.57.248.121,80,,1,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.248.121,80,115.75.222.164,42201,,1,0,1,0,0,0,1,0,0,0,0,0,0,1
115.75.222.164,42201,150.57.248.121,80,,1,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55285,,1,0,1,0.3366,0,0,1,0,0,0,0,0,0,1
