sIP,sport,dIP,dport,,timestamp,Cd/Cp,Sd/Sp,C0/Sd,S0/Cd,Cd/Pd,Sd/Pd,Cf/Cd,Sf/Sd,Ca1/Cd,Ca2/Cd,Ca4/Cd,Sa2/Sd,Sa4/Sd
203.77.116.218,80,60.175.232.77,51406,,1,0,1,0,0,0,1,0,0,0,0,0,0,1
60.175.232.77,51406,203.77.116.218,80,,1,1,0,0,0,1,0,0,0,0,0,1,0,0
210.193.44.119,63652,203.77.126.80,80,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203.77.126.80,80,210.193.44.119,63652,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172.249.30.182,443,131.142.218.89,54261,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.142.218.89,54261,172.249.30.182,443,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.249.25.181,443,133.27.10.200,63499,,1,0,1,0.2475,0,0,1,0,0.0099,0,0,0,0,1
133.27.10.200,63499,172.249.25.181,443,,1,1,0,0,0.2475,1,0,0.0099,0,0,0,1,0,0
172.249.28.105,443,131.142.218.89,54260,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.142.218.89,54260,172.249.28.105,443,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,80,115.75.124.165,34055,,1,0,1,0,0,0,1,0,0.1287,0,0,0,0.0099,0.9604
115.75.124.165,34055,150.57.248.121,80,,1,1,0,0,0,1,0,0.1287,0,0.0297,0.0099,0.9604,0,0
150.57.248.121,443,59.174.128.9,59412,,0,0,1,0,0,0,1,0,0.0099,0,0,0,0.0099,0.9901
59.174.128.9,59412,150.57.248.121,443,,0,1,0,0,0,1,0,0.0099,0,0,0.0099,0.9901,0,0
150.57.248.121,80,115.75.124.167,43700,,1,0,1,0,0,0,1,0,0.0891,0,0,0,0,1
115.75.124.167,43700,150.57.248.121,80,,1,1,0,0,0,1,0,0.0891,0,0,0,1,0,0
150.57.248.121,80,118.15.7.138,45982,,1,0,0.9703,0,0,0,1,0,0.398,0,0,0,0.0204,0.9694
118.15.7.138,45982,150.57.248.121,80,,1,0.9703,0,0,0,1,0,0.398,0,0,0.0204,0.9694,0,0
202.198.44.179,23536,104.120.156.140,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.120.156.140,80,202.198.44.179,23536,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,80,111.230.217.47,51849,,1,0,1,0,0,0,1,0,0.198,0,0,0,0,0.9802
111.230.217.47,51849,150.57.248.121,80,,1,1,0,0,0,1,0,0.198,0,0,0,0.9802,0,0
150.57.248.121,80,115.75.124.167,43695,,1,0,1,0,0,0,1,0,0.0594,0,0,0,0,1
115.75.124.167,43695,150.57.248.121,80,,1,1,0,0,0,1,0,0.0594,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55278,,1,0,1,0.4851,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55278,150.57.172.44,8080,,1,1,0,0,0.4851,1,0,0.0099,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55283,,1,0,1,0.3267,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55283,150.57.172.44,8080,,1,1,0,0,0.3267,1,0,0,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55282,,1,0,1,0.505,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55282,150.57.172.44,8080,,1,1,0,0,0.505,1,0,0,0,0,0,1,0,0
150.57.248.121,80,115.75.124.166,47174,,1,0,1,0,0,0,1,0,0.1485,0,0,0,0,0.9901
115.75.124.166,47174,150.57.248.121,80,,1,1,0,0,0,1,0,0.1485,0,0.0099,0,0.9901,0,0
150.57.172.44,8080,114.95.167.124,55301,,1,0,1,0.4851,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55301,150.57.172.44,8080,,1,1,0,0,0.4851,1,0,0.0099,0,0,0,1,0,0
150.57.248.121,80,115.75.124.164,50728,,1,0,1,0,0,0,1,0,0,0,0,0,0,1
115.75.124.164,50728,150.57.248.121,80,,1,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55284,,1,0,1,0.4158,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55284,150.57.172.44,8080,,1,1,0,0,0.4158,1,0,0.0099,0,0,0,1,0,0
150.57.248.121,80,153.198.112.222,34428,,1,0,1,0.3267,0,0,1,0,0.4653,0,0,0,0.0099,0.9901
153.198.112.222,34428,150.57.248.121,80,,1,1,0,0,0.3267,1,0,0.4653,0,0,0.0099,0.9901,0,0
150.57.172.44,8080,114.95.167.124,55279,,1,0.0303,1,0.3168,0,0.0098,0.9902,1,0.0099,0,1,0,0,1
114.95.167.124,55279,150.57.172.44,8080,,1,1,0.0303,0,0.3168,0.9902,0.0098,0.0099,1,0,0,1,1,0
150.57.172.44,8080,114.95.167.124,55281,,1,0,1,0.4158,0,0,1,0,0.0198,0,0,0,0,1
114.95.167.124,55281,150.57.172.44,8080,,1,1,0,0,0.4158,1,0,0.0198,0,0,0,1,0,0
150.57.248.121,80,115.75.222.164,42201,,1,0,1,0,0,0,1,0,0.0099,0,0,0,0,1
115.75.222.164,42201,150.57.248.121,80,,1,1,0,0,0,1,0,0.0099,0,0,0,1,0,0
150.57.248.121,443,103.3.98.172,21525,,1,0,1,0,0,0,1,0,0.2871,0,0,0,0,0.9901
103.3.98.172,21525,150.57.248.121,443,,1,1,0,0,0,1,0,0.2871,0,0,0,0.9901,0,0
